"","age","year","SE","abundance"
"121",1,1986,2814584.24534296,21029776.1006291
"122",2,1986,1139283.44303124,4669048.47885491
"123",3,1986,1634168.58078237,9039098.64941238
"124",4,1986,2456489.83711114,14575382.8272643
"125",5,1986,2397803.32625525,14010338.0463008
"126",6,1986,2436663.67649488,16992517.5066336
"127",7,1986,1905228.28588493,14934698.5812053
"128",8,1986,1302904.03429789,12399721.3909712
"129",9,1986,367890.832322673,3804245.4858887
"130",10,1986,102798.165447717,979508.918470161
"131",11,1986,83130.9778055635,893656.162868143
"132",12,1986,34044.0530268212,373617.186177763
"133",13,1986,43591.5019076565,441708.703388969
"134",14,1986,6797.00303976412,55745.9326922182
"135",15,1986,130437.856814476,1066102.14724316
"151",1,1987,581697.51412656,3480261.56652853
"152",2,1987,636321.233548323,4230951.48730834
"153",3,1987,4194881.57536644,16138721.5413766
"154",4,1987,3450828.31566783,14384903.4764099
"155",5,1987,19942111.0615045,58082328.6218555
"156",6,1987,3295816.77097785,14664230.53091
"157",7,1987,1659734.26402929,11121045.7296284
"158",8,1987,514887.808967524,4751986.01543357
"159",9,1987,1005096.11693413,12508216.1394189
"160",10,1987,194153.077935835,2473706.62017013
"161",11,1987,59193.6232579376,702874.065872299
"162",12,1987,24916.8633616198,272530.590022043
"163",13,1987,38173.7700461896,343405.904743989
"164",14,1987,5992.49288832178,44251.3331705158
"165",15,1987,162448.611840866,1230244.47632483
"181",1,1988,1171298.65612284,10596140.5395771
"182",2,1988,880418.532738929,4513304.90434018
"183",3,1988,3354599.5821183,15575392.4933335
"184",4,1988,6281617.39282963,29510224.7626039
"185",5,1988,3512431.49644824,15801313.6325341
"186",6,1988,8711873.72021788,47902026.2896013
"187",7,1988,2050793.54971199,13916906.3273849
"188",8,1988,1058389.00089037,9784294.783293
"189",9,1988,457502.880530426,5260383.56199772
"190",10,1988,911059.281232751,12754550.5963865
"191",11,1988,81476.7136561024,1260180.57839219
"192",12,1988,46207.7487084741,731279.506543577
"193",13,1988,16435.4408174451,188442.205141182
"194",14,1988,14790.6827839146,202303.649950856
"195",15,1988,16464.7988520135,150413.84160833
"211",1,1989,755126.676354309,6575710.00242287
"212",2,1989,301991.013999419,1920273.47030072
"213",3,1989,4416260.76324732,25185015.8612714
"214",4,1989,3416056.15919543,21579412.2879264
"215",5,1989,7323048.94408586,43168917.7426799
"216",6,1989,2204970.48751537,15818388.0974156
"217",7,1989,4242326.61766871,33362656.5717953
"218",8,1989,816306.229134778,8255762.56829707
"219",9,1989,417481.991709706,5426371.00701034
"220",10,1989,191400.784050486,2459875.29130814
"221",11,1989,467610.648179831,6483542.16250175
"222",12,1989,92398.0096931865,1211926.73460914
"223",13,1989,133275.540389616,1565261.85234414
"224",14,1989,45873.4585972152,527179.853669108
"225",15,1989,233730.722234262,2281512.47353331
"241",1,1990,1704497.90047437,14425476.5696515
"242",2,1990,366246.096340952,1735562.46805505
"243",3,1990,2180527.56707467,10542491.6523358
"244",4,1990,1423050.05608718,9456783.2671509
"245",5,1990,3292173.63484825,17949792.6129937
"246",6,1990,7527033.36316172,45838539.7189058
"247",7,1990,1318705.57919547,9021819.7309264
"248",8,1990,2646370.18412326,21311664.1523964
"249",9,1990,215749.262004758,2138304.50759528
"250",10,1990,543752.402418798,5970900.12527426
"251",11,1990,58537.6282014663,782775.358652832
"252",12,1990,436275.506701603,5845404.1013156
"253",13,1990,67171.170653685,901182.29715197
"254",14,1990,36556.3189740387,449888.783526049
"255",15,1990,170832.490482879,2000123.04908773
"271",1,1991,3241253.69672557,25171317.5466493
"272",2,1991,711692.878088408,4235707.05955889
"273",3,1991,843716.544218506,4950762.66272453
"274",4,1991,769442.538463754,4703810.09484873
"275",5,1991,2102973.81287082,11216324.2392792
"276",6,1991,1384389.8145346,9306245.53657268
"277",7,1991,2305509.91454733,17011598.1925445
"278",8,1991,919806.460767342,8288921.20859933
"279",9,1991,1179115.50588761,12236080.4336819
"280",10,1991,301501.114276605,3421877.41438871
"281",11,1991,329894.654856991,4539009.06277363
"282",12,1991,67465.5893959474,996906.436811714
"283",13,1991,177326.757783239,2712854.77105505
"284",14,1991,27670.7734363573,440213.220220095
"285",15,1991,158051.169970306,2313216.65229468
"301",1,1992,1359513.53382247,9744720.11898089
"302",2,1992,442845.242381253,2583705.57182918
"303",3,1992,3071853.59470863,16552791.445918
"304",4,1992,629018.670729842,4429953.63958545
"305",5,1992,848037.979571932,5500386.53216571
"306",6,1992,1113987.5038335,8196202.69619292
"307",7,1992,663042.465294908,5280767.35943595
"308",8,1992,814010.81636567,7514199.82139814
"309",9,1992,285823.519992296,3147852.06629058
"310",10,1992,518601.033918231,5945495.05906499
"311",11,1992,201425.974744487,2632915.67279963
"312",12,1992,200301.657403572,2787129.30866739
"313",13,1992,100003.627509724,1379561.1901812
"314",14,1992,81207.4491592784,1039030.66847325
"315",15,1992,90381.7062459116,1110139.76541502
"331",1,1993,2095738.22699276,15409521.8821962
"332",2,1993,277062.582638266,2337997.62257832
"333",3,1993,1371710.35396493,9247987.05982028
"334",4,1993,5085763.58957692,32307782.0136463
"335",5,1993,1517209.14756848,8946872.83179232
"336",6,1993,929509.697516477,6970735.94591976
"337",7,1993,378839.545996128,3196843.32145611
"338",8,1993,395916.699419106,4444235.38190535
"339",9,1993,436644.673231954,5517119.78126891
"340",10,1993,275821.17156333,3649414.92494984
"341",11,1993,216342.856436508,3127991.3215276
"342",12,1993,154635.071741224,2205823.74948296
"343",13,1993,150398.089889091,2012492.61880272
"344",14,1993,80891.2373385238,960266.010704711
"345",15,1993,241394.580061066,2918329.38813046
"361",1,1994,1514026.02546844,12132843.2613784
"362",2,1994,792201.991781746,4354926.49517764
"363",3,1994,1013755.03106712,6906545.93733759
"364",4,1994,1617824.07298556,11660143.3971381
"365",5,1994,4477690.01233352,31007310.7201976
"366",6,1994,849232.009438842,6874838.39606933
"367",7,1994,327379.083948937,2844665.97394186
"368",8,1994,288174.758089508,3049147.99849302
"369",9,1994,128443.313466464,1539653.51676738
"370",10,1994,330358.116482295,4064662.68353133
"371",11,1994,192615.184720924,2545842.3023288
"372",12,1994,194975.510547211,2534371.17712021
"373",13,1994,124304.688916082,1597087.49032477
"374",14,1994,91167.4831522732,1059608.29069303
"375",15,1994,256566.23279627,3043953.39398454
"391",1,1995,1358445.01690443,11580942.8020685
"392",2,1995,200072.868634333,1028696.28190301
"393",3,1995,1768815.20533705,10574100.7445949
"394",4,1995,1732618.02746405,10741195.2514195
"395",5,1995,3002910.65190838,16264016.6597873
"396",6,1995,3237132.8517857,21449272.3388015
"397",7,1995,1329267.1627358,9142683.65002903
"398",8,1995,500302.771842175,3873428.69266703
"399",9,1995,181630.586023963,1514272.34119937
"400",10,1995,392831.179197597,3052441.70795351
"401",11,1995,185999.44579908,2210206.44979542
"402",12,1995,79814.4341916912,985746.25092567
"403",13,1995,134925.753642256,1642040.85883748
"404",14,1995,62058.8776760678,707371.903928772
"405",15,1995,196434.833837402,2151125.65444395
"421",1,1996,1771026.40412129,13399702.9254398
"422",2,1996,429368.227525824,3008517.72861849
"423",3,1996,509456.381605587,4125298.90906055
"424",4,1996,574684.419467312,4774056.66455793
"425",5,1996,1056729.50992445,7907505.34273836
"426",6,1996,1396343.55654727,10522851.100684
"427",7,1996,986982.138410695,9218894.61202151
"428",8,1996,281510.047207418,2930218.02993823
"429",9,1996,66480.4625417755,749645.114067148
"430",10,1996,76119.8236850065,871547.807056311
"431",11,1996,57512.5059445593,707457.000451883
"432",12,1996,99367.7238489101,1176246.24840053
"433",13,1996,72280.0309490144,823019.46726559
"434",14,1996,70202.2269349202,742731.007622452
"435",15,1996,190129.996559225,1926902.14372761
"451",1,1997,1826925.6694303,14078500.0676106
"452",2,1997,362222.303075462,2446054.65407539
"453",3,1997,1368377.5530406,7529758.41285292
"454",4,1997,1804454.77243666,10764206.7816068
"455",5,1997,6563251.71404016,27666164.9098644
"456",6,1997,5279122.93741582,17031503.639956
"457",7,1997,1306842.77160031,7271722.63671333
"458",8,1997,807740.245254901,7529621.34381495
"459",9,1997,103443.130503341,1344458.62547414
"460",10,1997,65976.1811798902,759638.304933571
"461",11,1997,55230.815411663,725437.643502365
"462",12,1997,50923.9953356096,606317.577249751
"463",13,1997,95932.8481151614,1126401.8993219
"464",14,1997,36604.0342511313,371426.305056295
"465",15,1997,210184.015624237,2110641.44807741
"481",1,1998,811510.778301878,5889597.10651452
"482",2,1998,692883.45054499,4318098.18582284
"483",3,1998,750398.489400246,5952080.38639847
"484",4,1998,789248.158829846,5807472.03049173
"485",5,1998,681754.970176168,5001169.47028434
"486",6,1998,2343049.22614784,18110387.5907347
"487",7,1998,497444.653645015,5032874.18780762
"488",8,1998,273809.323869174,3243183.24719603
"489",9,1998,197212.463468928,2541133.95687984
"490",10,1998,97359.9000493422,1202723.22284838
"491",11,1998,51739.4727266295,596282.994513776
"492",12,1998,26523.718404884,268847.663966244
"493",13,1998,36096.3907434601,362344.297937404
"494",14,1998,30268.2945509384,277333.448781751
"495",15,1998,154097.992890495,1407491.26040796
"511",1,1999,907434.655585073,7150724.2088267
"512",2,1999,1474763.07907239,6957659.32875733
"513",3,1999,1656990.34640108,9350801.90313742
"514",4,1999,1331074.13296262,8643504.72653356
"515",5,1999,1756551.58903343,11566161.2350704
"516",6,1999,1300698.78435389,9687759.17406141
"517",7,1999,2585493.89195591,20886524.6816025
"518",8,1999,653930.04577647,6517871.47027095
"519",9,1999,234862.481129508,2813601.28390215
"520",10,1999,224252.937039367,2731062.16517847
"521",11,1999,105141.805012197,1402915.21855372
"522",12,1999,41518.2478160422,512358.127857923
"523",13,1999,58621.8362604544,639805.904408945
"524",14,1999,32611.6403976453,316672.725366798
"525",15,1999,160905.360516469,1742203.34804543
"541",1,2000,798654.331696896,7062788.03579875
"542",2,2000,290850.232970081,2107933.88807
"543",3,2000,2339269.45881607,11412343.7783559
"544",4,2000,3080395.07379504,14585446.9552327
"545",5,2000,4050866.88500804,21825019.1672328
"546",6,2000,1574637.49054288,10699310.6393112
"547",7,2000,720817.758938711,6054380.5399321
"548",8,2000,1959296.5044011,19502739.254169
"549",9,2000,672718.363807115,7488386.32869172
"550",10,2000,394756.526021765,4035600.47192297
"551",11,2000,164934.667801755,1873416.01759818
"552",12,2000,118686.940763309,1331324.63288215
"553",13,2000,44904.709581434,511293.271405716
"554",14,2000,19537.6829068579,192222.704134541
"555",15,2000,195978.684240526,1941496.09057413
"571",1,2001,1285140.20952727,11791085.5241492
"572",2,2001,939928.725070652,7187379.56834758
"573",3,2001,944511.279881291,7354351.86189107
"574",4,2001,885311.061249424,6359778.53580867
"575",5,2001,2232035.9722526,13599505.8692125
"576",6,2001,1860818.2429018,12562718.2103268
"577",7,2001,709556.068241633,5553928.92482906
"578",8,2001,334404.859116831,3444643.30368278
"579",9,2001,680620.118141135,7715122.96481346
"580",10,2001,461852.004976991,5639887.0237732
"581",11,2001,174203.797012653,2316165.77003132
"582",12,2001,149858.874523525,2016220.21978613
"583",13,2001,101933.7161922,1328442.71420284
"584",14,2001,21535.551437591,252078.645160323
"585",15,2001,165630.088742003,1886748.34539959
"601",1,2002,1132710.13952987,6812958.71021139
"602",2,2002,337426.771294579,2721547.58102961
"603",3,2002,954679.837520582,6741783.42898786
"604",4,2002,931967.404190007,8779677.26212223
"605",5,2002,1310178.12900873,10305009.5323359
"606",6,2002,1621387.35842336,14518460.2437597
"607",7,2002,946223.768630644,9218191.03656279
"608",8,2002,771792.3607214,8734315.59824583
"609",9,2002,359498.136693784,4340200.2379653
"610",10,2002,619723.911972295,8022240.96065093
"611",11,2002,298430.613084325,4099994.5806709
"612",12,2002,137038.415889857,1844083.43416595
"613",13,2002,97475.7299693691,1200226.66232235
"614",14,2002,34189.2457625626,381249.002440642
"615",15,2002,163815.577544808,1773206.31401561
"631",1,2003,480342.238530154,3466936.40238075
"632",2,2003,148149.300870424,1093247.57908504
"633",3,2003,1906587.80926522,15698266.5927725
"634",4,2003,2995370.87893182,27238184.5299144
"635",5,2003,2354971.30228831,18487530.606006
"636",6,2003,2039222.62390196,18112303.7445908
"637",7,2003,1891921.16113919,18705479.9101187
"638",8,2003,908539.510242516,8977423.25091283
"639",9,2003,450532.966129082,4117316.78086467
"640",10,2003,508080.976662551,4769932.64648643
"641",11,2003,945320.68421554,9284794.85549457
"642",12,2003,411919.195448393,4066315.66028196
"643",13,2003,173725.236093277,1794458.36162995
"644",14,2003,81866.952832459,708955.772854048
"645",15,2003,361559.023191986,2915345.12202427
"661",1,2004,452630.875377833,3176131.39679867
"662",2,2004,274370.464474577,1835049.58083772
"663",3,2004,457878.149945925,3379702.39522913
"664",4,2004,1742359.24364335,12188880.7636814
"665",5,2004,4304193.75378881,17037379.3646659
"666",6,2004,1942981.60879129,11008043.4679925
"667",7,2004,721362.631722886,5921285.6195747
"668",8,2004,540920.521492304,5641565.5535202
"669",9,2004,208003.076408267,2649947.54418215
"670",10,2004,139457.726553962,1771930.02259272
"671",11,2004,140185.468884191,1754357.00650486
"672",12,2004,254392.78792675,3145897.78665234
"673",13,2004,124913.131798036,1431482.76285429
"674",14,2004,38550.1547441307,368525.135949834
"675",15,2004,135071.229142013,1395120.38358303
"691",1,2005,326505.732853526,2988657.46520948
"692",2,2005,154056.84659067,965563.305220707
"693",3,2005,681487.034204897,3870130.18154707
"694",4,2005,3528483.75274951,18264622.9103046
"695",5,2005,10070612.5229515,62483180.4397672
"696",6,2005,4350781.28210057,31436208.6459027
"697",7,2005,1755024.31562081,15426609.1828437
"698",8,2005,979671.650315323,10142117.4341186
"699",9,2005,273022.301087535,3588930.94991484
"700",10,2005,380917.186024312,4946764.20901493
"701",11,2005,47306.1110933621,682741.138092199
"702",12,2005,85725.2712788322,1249901.96319328
"703",13,2005,155436.304042659,2157621.04392366
"704",14,2005,71853.0921209407,863277.817341025
"705",15,2005,141428.291590087,1678875.26565623
"721",1,2006,857902.714913636,6736728.79907703
"722",2,2006,78337.2810545441,540736.740242792
"723",3,2006,770633.903124081,4788231.51970345
"724",4,2006,657297.940044651,4176624.34352813
"725",5,2006,1501458.0265644,9902032.99055236
"726",6,2006,1757216.52668227,13513992.1267257
"727",7,2006,994032.795104364,8330593.96368867
"728",8,2006,414787.462594231,3842939.71875205
"729",9,2006,181107.810880893,2066714.85682712
"730",10,2006,144833.432886829,1745477.29055754
"731",11,2006,60799.9208159061,849821.351099761
"732",12,2006,51323.2837530059,707836.458047067
"733",13,2006,62205.7784918202,861473.014380636
"734",14,2006,69051.1273512296,954909.002180788
"735",15,2006,80172.1282424653,1086168.65835267
"751",1,2007,1802312.72670792,16584409.8699003
"752",2,2007,60950.6981760818,424637.417526424
"753",3,2007,1169415.72467717,5484480.68827123
"754",4,2007,1561317.33349776,7450575.64677331
"755",5,2007,2891463.83054718,13855254.4935215
"756",6,2007,2345646.0554253,15234914.3512531
"757",7,2007,1431905.04061869,10886677.6401492
"758",8,2007,1064553.90637775,9416217.09907497
"759",9,2007,311908.64275584,3192239.10118748
"760",10,2007,129789.670672142,1472306.46705674
"761",11,2007,171246.159514568,2104947.68234877
"762",12,2007,102314.854725259,1275104.80240406
"763",13,2007,58622.2249858725,696870.524791536
"764",14,2007,56730.9500390698,671874.944393514
"765",15,2007,209206.991743106,2442011.76326325
"781",1,2008,347895.67900024,3113455.28803551
"782",2,2008,155168.388213785,777007.63326851
"783",3,2008,554383.439037055,2954749.14396831
"784",4,2008,532448.777687962,3088856.5938063
"785",5,2008,1258611.16994479,7039409.23454223
"786",6,2008,1512630.00522894,9888958.05960704
"787",7,2008,1038545.12029949,7521871.50407947
"788",8,2008,804889.420102847,6550156.68829078
"789",9,2008,328160.397449487,3016508.10477743
"790",10,2008,230212.035010834,2053723.5654326
"791",11,2008,79416.6229554438,901830.646385001
"792",12,2008,58345.4285464078,702632.036001873
"793",13,2008,28955.8442343041,361607.605261337
"794",14,2008,16890.6799983925,200954.971013945
"795",15,2008,103502.896459388,1260905.50406851
"811",1,2009,725338.5655788,6114901.73764294
"812",2,2009,147552.549734912,946998.288963329
"813",3,2009,715453.242275496,3368194.12256599
"814",4,2009,833866.621447012,4162304.8691853
"815",5,2009,791487.267257323,3458751.79467915
"816",6,2009,694685.742315623,4048667.62758351
"817",7,2009,693372.265597052,4417637.94830057
"818",8,2009,465774.375115354,3489157.92416226
"819",9,2009,271071.377431857,2321256.46481955
"820",10,2009,192735.310694336,1809924.7701711
"821",11,2009,110079.478524898,1147482.02078854
"822",12,2009,36896.6079874435,414253.519182353
"823",13,2009,28674.2138734697,344295.468178485
"824",14,2009,12601.2716461737,149631.228140282
"825",15,2009,102448.063599751,1248268.54183721
"841",1,2010,237037.545875534,3132903.71672491
"842",2,2010,106301.927999032,734609.741282289
"843",3,2010,1657539.04716906,9014158.49113012
"844",4,2010,3720745.79191759,20767829.535171
"845",5,2010,1861887.77774063,10866941.3363119
"846",6,2010,777114.22259962,5686050.78895644
"847",7,2010,520904.773257037,4443557.92309735
"848",8,2010,337694.569123991,3164724.85297874
"849",9,2010,292272.159354665,2994786.31851887
"850",10,2010,188305.528938417,2021195.38532882
"851",11,2010,146992.751833924,1761497.52002181
"852",12,2010,53327.7208930549,663592.075602947
"853",13,2010,41473.449792122,554599.80135032
"854",14,2010,15720.9693516516,222008.83241421
"855",15,2010,99696.2405094287,1425720.96561374
"871",1,2011,789317.176378193,7749602.38693334
"872",2,2011,113922.424973275,852536.094439949
"873",3,2011,1016330.00300367,5964726.32968595
"874",4,2011,592191.31505224,3471754.8571844
"875",5,2011,2571864.7073618,16438330.635851
"876",6,2011,1177837.49119356,8711568.25801435
"877",7,2011,315065.461187846,2652753.98895949
"878",8,2011,157251.974300835,1596610.82554516
"879",9,2011,161487.398825357,1986335.81354393
"880",10,2011,154839.064058618,1963048.33124641
"881",11,2011,135132.762665389,1868490.87033025
"882",12,2011,93363.8069567882,1265795.26545276
"883",13,2011,57941.2819028196,739658.055169841
"884",14,2011,22851.4229731928,269490.201725968
"885",15,2011,139171.992721817,1668900.68283851
"901",1,2012,853647.505310259,8299230.21123491
"902",2,2012,257787.884352258,1414778.43098083
"903",3,2012,1311406.78071609,9311667.31412773
"904",4,2012,3596882.59888675,25855057.8155666
"905",5,2012,859276.380335978,6733441.88949358
"906",6,2012,1141085.38851241,9758433.97741147
"907",7,2012,331141.492804805,3228790.63897853
"908",8,2012,203625.877513851,2178389.12056572
"909",9,2012,66437.5403435421,859102.473043106
"910",10,2012,165020.500157524,1956923.58834281
"911",11,2012,88134.4909807696,1225614.26192273
"912",12,2012,64077.9686239814,865033.629999572
"913",13,2012,64771.1157878388,820830.607946307
"914",14,2012,25213.1450852527,280191.307959556
"915",15,2012,106094.745125501,1218904.6832662
"931",1,2013,1181533.75693999,8896992.58487911
"932",2,2013,170472.896401681,868659.740497328
"933",3,2013,1582670.09468247,12086577.0709658
"934",4,2013,1105627.99155967,8716296.29801203
"935",5,2013,6849591.59772723,46971875.7676329
"936",6,2013,1455310.62073452,11322302.4760954
"937",7,2013,683445.182603743,6584485.92901042
"938",8,2013,302444.031671175,3230579.98331836
"939",9,2013,62191.8952245646,830934.959691563
"940",10,2013,125400.505309399,1672122.84434039
"941",11,2013,89423.4024558169,1233994.56894988
"942",12,2013,49344.6994644048,624456.142330135
"943",13,2013,62038.847190169,729637.317796531
"944",14,2013,35325.8046066081,360635.640915637
"945",15,2013,126557.099350256,1325307.42623032
"961",1,2014,2292029.34807385,16279203.1476867
"962",2,2014,315245.455643911,2323191.97824937
"963",3,2014,1215651.67054134,8661574.03291663
"964",4,2014,1359423.83615852,10404801.0631702
"965",5,2014,2300190.27569695,16246344.1395997
"966",6,2014,6470856.75893297,57010124.5216221
"967",7,2014,2534877.70567141,28163387.1208749
"968",8,2014,458153.218778871,5857867.01056019
"969",9,2014,248016.959281497,3231971.48707937
"970",10,2014,226054.83009444,2670261.13055749
"971",11,2014,91323.7811901196,1068570.57073363
"972",12,2014,71473.8752538579,750832.300786191
"973",13,2014,92877.9781272514,876619.391851364
"974",14,2014,44061.228887425,392457.0355946
"975",15,2014,259900.383487518,2267619.48393572
"991",1,2015,1620056.00256339,10674506.6050783
"992",2,2015,843111.674618053,5469760.19966995
"993",3,2015,3071328.41121892,23432463.261274
"994",4,2015,961489.8649397,8054097.8816282
"995",5,2015,2274645.05237011,14560861.6957433
"996",6,2015,2906418.6822971,22518999.8525605
"997",7,2015,4105636.00053943,42870540.9657554
"998",8,2015,1103555.81184043,12808487.6466453
"999",9,2015,292480.048408895,3100743.67338039
"1000",10,2015,368808.555556566,4062693.59653051
"1001",11,2015,34232.1703854717,299733.180078933
"1002",12,2015,47668.3064221501,386883.695821125
"1003",13,2015,64440.2104705033,489138.450881581
"1004",14,2015,37514.6170064968,253252.839275146
"1005",15,2015,291436.577046993,2252030.68777068
"1021",1,2016,795422.199833,6044354.81269628
"1022",2,2016,539666.34683719,3056186.00202806
"1023",3,2016,1485565.57801439,11281584.773273
"1024",4,2016,3046708.86570476,25994707.2733153
"1025",5,2016,2268864.00498844,12300534.8022959
"1026",6,2016,1288822.91708551,9258134.70310534
"1027",7,2016,1559261.27148705,12609678.1335696
"1028",8,2016,2315394.01340397,19101146.4478897
"1029",9,2016,467992.509248308,3832136.78711477
"1030",10,2016,202201.69839552,1596804.80345911
"1031",11,2016,154043.125366955,1145787.14575885
"1032",12,2016,30767.32646278,235949.892110349
"1033",13,2016,50655.1883432961,330786.710981026
"1034",14,2016,12554.4792193624,68235.0995883117
"1035",15,2016,183019.492111792,1184029.50372678
"1051",1,2017,459995.607236792,5358325.60455938
"1052",2,2017,316161.629378124,2216852.18923082
"1053",3,2017,1321961.22914393,12648288.325129
"1054",4,2017,2036634.2402474,20004157.0547264
"1055",5,2017,3203500.20428888,26984973.781309
"1056",6,2017,1191888.74907358,13015351.7966658
"1057",7,2017,704293.914081249,9365702.08314171
"1058",8,2017,624695.367523953,9097924.03285434
"1059",9,2017,738826.431899018,11718856.2707227
"1060",10,2017,217304.476481832,3423129.41648706
"1061",11,2017,88066.7263583655,1369136.57541187
"1062",12,2017,34616.1873634392,559284.392870789
"1063",13,2017,21158.8734892638,297403.224366193
"1064",14,2017,4430.53267949528,54040.0670689448
"1065",15,2017,78483.181675882,1167434.6443132
"1081",1,2018,1572437.73762196,8858240.46396836
"1082",2,2018,443369.08750951,3232773.51052476
"1083",3,2018,810836.65282893,5508055.36404564
"1084",4,2018,615995.744425829,4333110.1735827
"1085",5,2018,2953891.6266425,18615087.9704045
"1086",6,2018,1619188.12826846,12211120.0086864
"1087",7,2018,573286.532815164,4522014.93729297
"1088",8,2018,465453.522442061,3636611.20222669
"1089",9,2018,460686.785992115,3597181.92473005
"1090",10,2018,365545.33914378,2828606.84073182
"1091",11,2018,121820.170213749,943861.70041366
"1092",12,2018,32120.4246258981,222718.879652307
"1093",13,2018,17686.1539165572,109067.407491691
"1094",14,2018,2042.84577452693,8223.93388186304
"1095",15,2018,105783.307860775,746468.34697157
"1111",1,2019,1751838.60485543,18888471.2563915
"1112",2,2019,676774.708979447,5098272.66783917
"1113",3,2019,906599.513483042,9579421.94209147
"1114",4,2019,539820.803491467,6003931.74051709
"1115",5,2019,1700320.38363885,13918438.668842
"1116",6,2019,4925475.92058285,49966709.4422334
"1117",7,2019,1581892.38586953,19987892.4820557
"1118",8,2019,377579.288730957,5526832.2024489
"1119",9,2019,205919.953629161,3391601.66821399
"1120",10,2019,235705.017194527,3863914.33360295
"1121",11,2019,96067.7937564383,1688287.13875778
"1122",12,2019,31068.357988699,547504.783989596
"1123",13,2019,20808.4540284039,324931.987426308
"1124",14,2019,6547.3271418687,64884.1686962959
"1125",15,2019,55775.4866294407,871572.339347405
